267=0	1	10	99	55	99	121	
270=0	1	10	99	55	99	121	
273=0	1	10	99	55	99	121	
276=0	1	10	99	55	99	121	
279=0	1	10	99	55	99	121	
282=0	1	10	99	55	99	121	
285=0	1	10	99	55	99	121	
288=0	0	1	9	5	9	11	
289=0	0	1	9	5	9	11	
290=0	0	1	9	5	9	11	
291=0	0	1	9	5	9	11	
292=0	0	1	9	5	9	11	
293=0	0	1	9	5	9	11	
294=0	0	1	9	5	9	11	
295=0	0	1	9	5	9	11	
296=0	1	9	90	50	90	110	
300=0	0	1	9	5	9	11	
301=0	0	1	9	5	9	11	
302=0	0	1	9	5	9	11	
303=0	0	1	9	5	9	11	
304=0	0	1	9	5	9	11	
305=0	0	1	9	5	9	11	
306=0	0	1	9	5	9	11	
307=0	0	1	9	5	9	11	
308=0	0	1	9	5	9	11	
309=0	0	9	81	45	81	99	
319=0	0	0	9	5	9	11	
329=0	0	0	0	0	0	0	
330=0	0	1	9	5	9	11	
331=0	0	1	9	5	9	11	
332=0	0	1	9	5	9	11	
333=0	0	1	9	5	9	11	
334=0	0	0	1	0	0	0	
335=0	0	1	9	5	9	11	
336=0	0	0	1	1	1	1	
337=0	0	1	9	5	9	11	
338=0	0	0	1	2	2	3	
339=0	0	1	9	5	9	11	
340=0	0	0	1	1	2	3	
341=0	0	1	9	5	9	11	
342=0	0	0	1	1	2	1	
343=0	0	1	9	5	9	11	
344=0	0	0	1	0	1	1	
345=0	0	0	1	0	1	1	
346=0	0	0	1	0	0	1	
347=0	0	0	1	0	0	0	
348=0	0	1	9	5	9	11	
349=0	0	1	9	5	9	11	
350=0	0	1	9	5	9	11	
351=0	0	1	9	5	9	11	
352=0	0	1	9	5	9	11	
353=0	0	1	9	5	9	11	
354=0	0	1	9	5	9	11	
355=0	0	1	9	5	9	11	
356=0	0	1	9	5	9	11	
357=0	0	1	9	5	9	11	
360=0	0	0	9	5	9	11	
370=0	0	0	0	0	0	0	
371=0	0	0	1	0	0	0	
372=0	0	0	1	1	1	1	
373=0	0	0	1	2	2	3	
374=0	0	0	1	1	2	3	
375=0	0	0	1	1	2	1	
376=0	0	0	1	0	1	1	
377=0	0	0	1	0	1	1	
378=0	0	0	1	0	0	1	
379=0	0	0	1	0	0	0	
380=0	0	0	1	0	0	0	
381=0	0	0	1	1	1	1	
386=0	0	0	1	2	2	3	
393=0	0	0	1	1	2	3	
399=0	0	0	1	1	2	1	
404=0	0	0	1	0	1	1	
407=0	0	0	1	0	1	1	
411=0	0	0	1	0	0	1	
414=0	0	0	1	0	0	0	
415=0	0	0	1	0	0	0	
416=0	0	0	1	0	0	0	
417=0	0	0	0	1	0	1	
418=0	0	0	0	0	1	1	
419=0	0	0	0	0	1	0	
420=0	0	0	0	0	0	1	
421=0	0	0	0	0	0	0	
422=0	0	0	0	1	0	1	
425=0	0	0	0	0	1	1	
428=0	0	0	0	0	1	0	
429=0	0	0	0	0	0	1	
430=0	0	0	0	0	0	0	
431=0	0	0	0	0	0	0	
432=0	0	0	0	0	0	0	
